,BAD,Loan Total,Mortgage Due,Value,Reason of Default,Occupation,Years at Job,Major derogatory,Delinquent credit lines,Age Of Oldest Credit Line in Months,Number Of Recent Credit Inquiries,Number of Credit Lines,Debt-to-Income Ratio,Home Value
1216,1,10100,,"20000-39,999",DebtCon,Other,,1.0,0.0,122.3,1.0,5.0,,"20000-39,999"
2043,0,13000,,"20000-39,999",DebtCon,Other,13.0,,,90.933333333,2.0,9.0,,"20000-39,999"
2060,0,13000,,"20000-39,999",HomeImp,,28.0,0.0,0.0,198.07280559999998,0.0,5.0,25.507820486,"20000-39,999"
4181,0,21800,,"20000-39,999",DebtCon,ProfExe,8.0,0.0,0.0,114.54175113,1.0,19.0,21.825631045999998,"20000-39,999"
315,1,6000,16878.0,"20000-39,999",,Mgr,1.0,0.0,1.0,218.6,5.0,34.0,,"20000-39,999"
212,0,5200,19000.0,"20000-39,999",DebtCon,Other,0.0,1.0,0.0,17.2,10.0,7.0,,"20000-39,999"
2593,1,15000,,"20000-39,999",DebtCon,Other,1.6,0.0,1.0,105.46666667,17.0,20.0,,"20000-39,999"
954,0,9200,19756.0,"20000-39,999",DebtCon,Other,0.0,1.0,0.0,0.4867114508,9.0,7.0,27.075256643000003,"20000-39,999"
1493,1,11100,,"20000-39,999",HomeImp,Other,8.0,0.0,0.0,,2.0,0.0,,"20000-39,999"
4043,0,21100,,"20000-39,999",DebtCon,ProfExe,6.0,1.0,0.0,112.57824309,0.0,19.0,19.842902485,"20000-39,999"
4563,0,23900,7500.0,"20000-39,999",DebtCon,Other,17.0,3.0,0.0,126.83333333,2.0,19.0,,"20000-39,999"
3828,0,20000,,"20000-39,999",DebtCon,ProfExe,7.0,0.0,0.0,92.42667381700001,1.0,19.0,20.683740382,"20000-39,999"
170,0,5000,,"20000-39,999",DebtCon,Other,1.7,0.0,0.0,276.96666667,1.0,14.0,,"20000-39,999"
489,0,7000,5768.0,"20000-39,999",,,,,,,,,,"20000-39,999"
3852,0,20200,9297.0,"20000-39,999",DebtCon,Other,,0.0,0.0,55.705497287,2.0,18.0,41.718958392,"20000-39,999"
198,0,5100,,"20000-39,999",DebtCon,Other,1.0,0.0,0.0,258.78929762,0.0,14.0,26.722343336999998,"20000-39,999"
3975,0,20800,,"20000-39,999",DebtCon,ProfExe,6.0,0.0,0.0,103.03112953,1.0,19.0,21.304272085999997,"20000-39,999"
178,1,5000,10171.0,"20000-39,999",HomeImp,Office,13.0,3.0,6.0,228.3,0.0,24.0,,"20000-39,999"
583,0,7500,,"20000-39,999",HomeImp,Office,20.0,0.0,0.0,185.63333333,1.0,16.0,,"20000-39,999"
610,0,7700,20887.0,"20000-39,999",DebtCon,Other,0.0,0.0,0.0,17.460749903,10.0,6.0,30.233504741999997,"20000-39,999"
2124,0,13300,,"20000-39,999",HomeImp,,27.0,0.0,0.0,210.99697546,1.0,4.0,23.807147729,"20000-39,999"
450,1,6800,,"20000-39,999",HomeImp,Mgr,6.0,1.0,0.0,2.0333333333000003,1.0,5.0,,"20000-39,999"
1568,0,11400,,"20000-39,999",HomeImp,,27.0,0.0,0.0,208.17711251,0.0,5.0,23.830110576,"20000-39,999"
2526,1,15000,,"20000-39,999",HomeImp,Other,11.0,1.0,1.0,62.3,2.0,3.0,,"20000-39,999"
325,1,6000,18793.0,"20000-39,999",HomeImp,Mgr,6.0,0.0,3.0,119.7,0.0,8.0,,"20000-39,999"
2297,0,13900,,"20000-39,999",DebtCon,Other,12.0,,,95.94866523,1.0,9.0,34.166345197,"20000-39,999"
3093,1,16800,16204.0,"20000-39,999",HomeImp,Other,1.0,10.0,0.0,190.57709682,0.0,9.0,27.146885648,"20000-39,999"
804,0,8500,,"20000-39,999",HomeImp,Office,21.0,0.0,0.0,190.06187015,0.0,15.0,38.375406098,"20000-39,999"
295,1,5900,,"20000-39,999",DebtCon,Self,1.0,2.0,1.0,36.766666666999996,1.0,8.0,,"20000-39,999"
2797,0,15700,,"20000-39,999",DebtCon,Other,12.0,,,87.62052636899999,2.0,9.0,32.445475521,"20000-39,999"
200,0,5100,,"20000-39,999",DebtCon,Other,2.0,0.0,0.0,277.94456081,1.0,14.0,23.644691283,"20000-39,999"
139,0,4900,,"20000-39,999",HomeImp,,,,,,,,,"20000-39,999"
599,0,7600,,"20000-39,999",HomeImp,Office,20.0,0.0,0.0,180.16893732,0.0,16.0,35.583403169,"20000-39,999"
1545,0,11300,,"20000-39,999",HomeImp,Office,20.0,0.0,0.0,190.03121757,0.0,15.0,39.008673024000004,"20000-39,999"
3945,0,20600,,"20000-39,999",DebtCon,ProfExe,5.0,0.0,0.0,102.98686317,0.0,18.0,19.447185151,"20000-39,999"
3612,0,19000,7524.0,"20000-39,999",DebtCon,Other,,0.0,0.0,60.328252745,1.0,18.0,42.358461481999996,"20000-39,999"
4649,0,24400,,"20000-39,999",HomeImp,Other,24.0,0.0,0.0,81.166666667,2.0,15.0,,"20000-39,999"
2021,0,13000,,"20000-39,999",HomeImp,,28.0,0.0,0.0,203.90285502,0.0,4.0,25.740930695,"20000-39,999"
2302,1,14000,,"20000-39,999",HomeImp,Other,,0.0,0.0,342.06666667,2.0,14.0,,"20000-39,999"
2547,1,15000,5500.0,"20000-39,999",DebtCon,Other,25.0,0.0,5.0,275.5,1.0,19.0,,"20000-39,999"
2376,0,14300,,"20000-39,999",DebtCon,Other,14.0,,,82.066405167,2.0,7.0,32.76978633,"20000-39,999"
3042,0,16500,,"20000-39,999",DebtCon,Other,11.0,,,102.1303682,2.0,8.0,31.566885271999997,"20000-39,999"
1557,0,11400,,"20000-39,999",HomeImp,Office,20.0,0.0,0.0,207.93025578,1.0,15.0,38.955124741999995,"20000-39,999"
574,1,7500,18400.0,"20000-39,999",DebtCon,Other,6.0,1.0,0.0,147.1,0.0,9.0,,"20000-39,999"
1457,0,11000,15129.0,"20000-39,999",DebtCon,Office,6.0,0.0,1.0,102.43333333,0.0,17.0,,"20000-39,999"
3067,0,16700,,"20000-39,999",DebtCon,Other,13.0,,,80.82059145699999,2.0,8.0,33.364491337,"20000-39,999"
3838,1,20100,16755.0,"20000-39,999",HomeImp,Other,3.0,1.0,0.0,62.050110801,2.0,21.0,58.13218289899999,"20000-39,999"
5223,0,28300,,"20000-39,999",HomeImp,Other,24.0,0.0,0.0,78.109069731,2.0,14.0,30.513283442,"20000-39,999"
2931,0,16100,,"20000-39,999",DebtCon,Other,11.0,,,85.95153043799999,2.0,8.0,33.496046557,"20000-39,999"
43,1,3000,20000.0,"20000-39,999",DebtCon,Other,2.0,0.0,0.0,187.06666667,0.0,12.0,,"20000-39,999"
377,0,6300,26655.0,"20000-39,999",DebtCon,Other,1.0,1.0,0.0,12.759267447000001,10.0,6.0,28.36185178,"20000-39,999"
11,1,2000,20627.0,"20000-39,999",HomeImp,Office,11.0,0.0,1.0,122.53333333,1.0,9.0,,"20000-39,999"
3700,0,19500,9475.0,"20000-39,999",DebtCon,Other,0.0,1.0,0.0,33.466666667,2.0,4.0,,"20000-39,999"
247,1,5500,21359.0,"20000-39,999",DebtCon,Other,7.0,3.0,2.0,130.8,3.0,14.0,,"20000-39,999"
3450,0,18200,4927.0,"20000-39,999",DebtCon,Other,,0.0,0.0,89.59983866799999,1.0,19.0,41.230526879,"20000-39,999"
627,0,7800,,"20000-39,999",DebtCon,Other,2.0,0.0,0.0,295.11342067,0.0,13.0,23.245673006,"20000-39,999"
2819,0,15800,,"20000-39,999",DebtCon,Other,12.0,,,85.274033545,2.0,8.0,33.565263987,"20000-39,999"
1651,0,11800,21813.0,"20000-39,999",DebtCon,Office,5.0,0.0,1.0,104.01163591,0.0,16.0,19.408461231,"20000-39,999"
201,1,5100,9900.0,"20000-39,999",HomeImp,Other,11.0,0.0,0.0,21.2,0.0,2.0,,"20000-39,999"
1000,0,9400,,"20000-39,999",HomeImp,Office,18.0,0.0,0.0,194.61421604,0.0,16.0,39.000064863,"20000-39,999"
307,1,6000,24600.0,"20000-39,999",HomeImp,Other,4.5,0.0,1.0,116.1,8.0,34.0,,"20000-39,999"
427,0,6700,,"20000-39,999",DebtCon,Other,2.0,0.0,0.0,283.89723134,0.0,14.0,24.120451557,"20000-39,999"
2406,0,14500,,"20000-39,999",DebtCon,Other,11.0,,,89.856577087,2.0,9.0,33.474513805,"20000-39,999"
2916,1,16100,,"20000-39,999",HomeImp,Other,11.0,0.0,1.0,64.33574111899999,2.0,2.0,29.233014839000003,"20000-39,999"
979,0,9300,21138.0,"20000-39,999",DebtCon,Other,3.0,,,,,,,"20000-39,999"
4108,0,21500,9579.0,"20000-39,999",DebtCon,Other,,0.0,0.0,58.117463621000006,2.0,19.0,42.49201034,"20000-39,999"
2093,0,13200,15346.0,"20000-39,999",DebtCon,Office,7.0,0.0,1.0,89.652536093,0.0,16.0,18.105282019,"20000-39,999"
3886,0,20300,13838.0,"20000-39,999",DebtCon,Other,0.0,0.0,0.0,39.645887291,1.0,3.0,29.98518301,"20000-39,999"
4569,0,23900,16082.0,"20000-39,999",DebtCon,Other,17.0,2.0,0.0,123.36864612,1.0,19.0,26.71625685,"20000-39,999"
487,0,7000,7000.0,"20000-39,999",DebtCon,Other,5.0,0.0,0.0,265.06666667,0.0,12.0,,"20000-39,999"
677,1,8000,21944.0,"20000-39,999",DebtCon,Other,0.0,1.0,1.0,33.433333333,9.0,3.0,,"20000-39,999"
1863,0,12400,25805.0,"20000-39,999",DebtCon,Other,2.0,,,,,,38.237225598,"20000-39,999"
2502,0,14900,22245.0,"20000-39,999",DebtCon,Office,7.0,0.0,0.0,91.074218176,0.0,16.0,21.620580277,"20000-39,999"
635,0,7900,,"20000-39,999",HomeImp,Office,20.0,0.0,0.0,192.1211081,0.0,15.0,35.586051528,"20000-39,999"
532,0,7200,22832.0,"20000-39,999",DebtCon,Other,0.0,0.0,0.0,38.003266851,9.0,7.0,28.295681116999997,"20000-39,999"
2346,0,14200,,"20000-39,999",DebtCon,Other,13.0,,,82.99126514,2.0,8.0,33.215104024,"20000-39,999"
5080,0,27100,,"20000-39,999",HomeImp,Other,23.0,0.0,0.0,92.51403036200001,2.0,15.0,29.741908938,"20000-39,999"
4852,0,25500,,"20000-39,999",HomeImp,Other,23.0,0.0,0.0,82.293507238,3.0,15.0,28.078994114,"20000-39,999"
1891,0,12500,17659.0,"20000-39,999",DebtCon,Office,7.0,0.0,1.0,107.74109478,0.0,16.0,19.300854446,"20000-39,999"
1077,0,9800,15021.0,"20000-39,999",DebtCon,Other,6.0,0.0,0.0,276.73420174,0.0,11.0,22.291249185,"20000-39,999"
3759,0,20000,9647.0,"20000-39,999",DebtCon,Other,0.0,1.0,0.0,24.686231454,1.0,3.0,28.94036033,"20000-39,999"
3377,1,17900,,"20000-39,999",HomeImp,Other,10.0,0.0,1.0,74.429307591,1.0,2.0,29.975603348000003,"20000-39,999"
83,1,4000,26572.0,"20000-39,999",HomeImp,Office,11.0,0.0,0.0,117.79510387,0.0,8.0,41.286491948000005,"20000-39,999"
314,1,6000,22859.0,"20000-39,999",DebtCon,Other,4.0,0.0,0.0,83.333333333,3.0,20.0,,"20000-39,999"
1332,0,10500,12630.0,"20000-39,999",,,,,,,,,34.345859886,"20000-39,999"
882,0,8800,,"20000-39,999",DebtCon,Other,0.0,0.0,0.0,276.84193488,0.0,14.0,24.198678371,"20000-39,999"
603,0,7700,14776.0,"20000-39,999",,,,,,,,,34.880462318,"20000-39,999"
2645,0,15100,,"20000-39,999",DebtCon,Other,13.0,,,81.954054827,1.0,9.0,33.534708383,"20000-39,999"
2257,0,13800,21711.0,"20000-39,999",DebtCon,Office,7.0,0.0,0.0,105.66623421,0.0,17.0,20.333155595,"20000-39,999"
811,0,8500,6424.0,"20000-39,999",,,,,,,,,33.904464501,"20000-39,999"
184,1,5000,40000.0,"20000-39,999",HomeImp,Other,8.0,3.0,2.0,163.36666667,1.0,16.0,,"20000-39,999"
480,1,7000,19894.0,"20000-39,999",DebtCon,Other,4.0,0.0,0.0,134.7,1.0,16.0,,"20000-39,999"
375,1,6300,12476.0,"20000-39,999",HomeImp,Office,12.0,3.0,6.0,227.12990511,0.0,23.0,23.31951678,"20000-39,999"
707,0,8100,28187.0,"20000-39,999",DebtCon,Other,0.0,1.0,0.0,27.048834711999998,10.0,7.0,29.287956831,"20000-39,999"
853,0,8700,,"20000-39,999",HomeImp,,,,,,,,35.937902683000004,"20000-39,999"
793,0,8500,,"20000-39,999",HomeImp,Office,18.0,0.0,0.0,169.94538773,1.0,15.0,35.312710478,"20000-39,999"
702,0,8100,13179.0,"20000-39,999",,,,,,,,,31.742249284,"20000-39,999"
41,1,3000,,"20000-39,999",HomeImp,Other,1.0,0.0,1.0,23.3,1.0,2.0,,"20000-39,999"
297,1,5900,,"20000-39,999",HomeImp,Other,,0.0,0.0,238.6,1.0,2.0,,"20000-39,999"
611,1,7700,14589.0,"20000-39,999",DebtCon,Other,3.0,0.0,7.0,122.06666667,0.0,22.0,,"20000-39,999"
4707,0,24900,17139.0,"20000-39,999",DebtCon,Other,16.0,3.0,0.0,124.19682654,1.0,18.0,26.275832415,"20000-39,999"
1604,0,11600,22635.0,"20000-39,999",DebtCon,Office,6.0,0.0,0.0,85.57207035,0.0,16.0,19.223872665,"20000-39,999"
2899,0,16000,,"20000-39,999",DebtCon,Other,13.0,,,84.93118132,1.0,9.0,33.720783378,"20000-39,999"
393,0,6400,28041.0,"20000-39,999",DebtCon,Other,1.0,1.0,0.0,10.42564285,10.0,6.0,29.753700283,"20000-39,999"
283,0,5700,28116.0,"20000-39,999",DebtCon,Other,0.0,1.0,0.0,15.396587392,9.0,7.0,30.017013296,"20000-39,999"
737,0,8200,,"20000-39,999",HomeImp,Office,21.0,0.0,0.0,178.68792754,0.0,15.0,36.601698856,"20000-39,999"
512,0,7100,25896.0,"20000-39,999",DebtCon,Other,1.0,0.0,0.0,29.856365166,9.0,7.0,28.271474159,"20000-39,999"
2156,0,13400,,"20000-39,999",DebtCon,Other,13.0,,,108.21700943,2.0,8.0,31.613929557,"20000-39,999"
1759,1,12000,,"20000-39,999",DebtCon,Other,,1.0,0.0,121.37953588,0.0,4.0,39.69469137,"20000-39,999"
4913,0,25900,,"20000-39,999",HomeImp,Other,24.0,0.0,0.0,73.858496717,2.0,14.0,28.243062567,"20000-39,999"
346,0,6200,,"20000-39,999",HomeImp,,,,,,,,34.517404516,"20000-39,999"
4266,0,22200,9709.0,"20000-39,999",DebtCon,Other,0.0,0.0,0.0,28.523782719,1.0,3.0,29.599780196999998,"20000-39,999"
1776,0,12100,12000.0,"20000-39,999",DebtCon,Mgr,9.0,0.0,0.0,118.76666667,0.0,11.0,,"20000-39,999"
4830,0,25300,,"20000-39,999",HomeImp,Other,23.0,0.0,0.0,79.163259538,2.0,14.0,27.179225539,"20000-39,999"
4769,1,25000,59000.0,"20000-39,999",DebtCon,Sales,10.0,4.0,2.0,125.83333333,7.0,23.0,,"20000-39,999"
203,1,5100,15500.0,"20000-39,999",DebtCon,Other,0.0,1.0,2.0,86.23333333299999,2.0,13.0,,"20000-39,999"
162,1,5000,22700.0,"20000-39,999",HomeImp,Other,4.0,0.0,0.0,74.633333333,3.0,9.0,,"20000-39,999"
665,0,8000,,"20000-39,999",HomeImp,Other,,,1.0,75.366666667,1.0,10.0,,"20000-39,999"
738,0,8200,13392.0,"20000-39,999",DebtCon,Other,3.0,0.0,0.0,267.91864156,0.0,11.0,21.929990488,"20000-39,999"
2802,0,15700,16804.0,"20000-39,999",DebtCon,Mgr,9.0,0.0,0.0,131.77342323,0.0,10.0,23.979702773000003,"20000-39,999"
1790,0,12100,18728.0,"20000-39,999",DebtCon,Mgr,9.0,0.0,0.0,117.64828293,0.0,10.0,21.589836378,"20000-39,999"
943,0,9100,24721.0,"20000-39,999",DebtCon,Other,1.0,0.0,0.0,28.100520363,9.0,7.0,27.520682166999997,"20000-39,999"
2101,0,13200,28428.0,"20000-39,999",DebtCon,Other,0.0,,,,,,39.370262709,"20000-39,999"
15,1,2200,24280.0,"20000-39,999",HomeImp,Other,,0.0,1.0,300.86666667,0.0,8.0,,"20000-39,999"
292,0,5800,,"20000-39,999",HomeImp,,,,,,,,34.174055545,"20000-39,999"
1789,0,12100,28193.0,"20000-39,999",DebtCon,Other,0.0,,,,,,37.618026904000004,"20000-39,999"
1439,0,11000,14046.0,"20000-39,999",DebtCon,Other,5.0,0.0,0.0,256.63415201,0.0,11.0,22.447943315,"20000-39,999"
2075,1,13100,22422.0,"20000-39,999",HomeImp,Office,2.6,2.0,0.0,93.3,1.0,3.0,,"20000-39,999"
144,0,5000,,"20000-39,999",HomeImp,,,,,,,,33.354652626,"20000-39,999"
3988,0,20900,16174.0,"20000-39,999",DebtCon,Other,1.0,0.0,0.0,52.303656253999996,1.0,4.0,29.752732196999997,"20000-39,999"
149,1,5000,22320.0,"20000-39,999",HomeImp,Other,10.0,0.0,0.0,65.7,1.0,5.0,,"20000-39,999"
168,0,5000,26037.0,"20000-39,999",HomeImp,ProfExe,12.0,0.0,0.0,182.63333333,0.0,13.0,,"20000-39,999"
5407,1,31500,22100.0,"20000-39,999",DebtCon,Other,1.9,2.0,0.0,85.233333333,2.0,14.0,,"20000-39,999"
2590,1,15000,6124.0,"20000-39,999",HomeImp,Other,1.5,1.0,0.0,91.26666666700001,0.0,5.0,,"20000-39,999"
4785,0,25000,,"20000-39,999",DebtCon,Other,10.0,1.0,,88.933333333,,14.0,,"20000-39,999"
2417,0,14500,,"20000-39,999",DebtCon,Other,12.0,,,94.36324735,1.0,8.0,32.605000982,"20000-39,999"
5092,1,27200,61118.0,"20000-39,999",DebtCon,Sales,10.0,4.0,2.0,134.6489043,7.0,23.0,45.25528966,"20000-39,999"
1350,1,10600,22000.0,"20000-39,999",DebtCon,Mgr,13.0,0.0,0.0,90.333333333,5.0,14.0,,"20000-39,999"
336,0,6100,,"20000-39,999",HomeImp,Other,,,,303.0,,12.0,,"20000-39,999"
1027,0,9500,21900.0,"20000-39,999",HomeImp,Mgr,16.0,0.0,0.0,59.866666667,1.0,10.0,,"20000-39,999"
1237,0,10200,9078.0,"20000-39,999",,,,,,,,,33.666454504,"20000-39,999"
4945,0,26100,,"20000-39,999",DebtCon,Other,9.0,0.0,,96.528316157,,14.0,23.318650008000002,"20000-39,999"
2581,0,15000,15832.0,"20000-39,999",,Office,1.0,0.0,0.0,211.03333333,0.0,16.0,,"20000-39,999"
2191,0,13600,,"20000-39,999",DebtCon,Other,11.0,,,101.79352327,1.0,8.0,32.66950311,"20000-39,999"
5048,0,26900,,"20000-39,999",DebtCon,Other,7.0,0.0,,85.25084072199999,,13.0,20.837255468,"20000-39,999"
241,0,5500,,"20000-39,999",HomeImp,,,,,,,,35.272073735,"20000-39,999"
639,0,7900,,"20000-39,999",HomeImp,Office,19.0,0.0,0.0,184.39002923,0.0,15.0,37.836714873000005,"20000-39,999"
273,0,5700,26927.0,"20000-39,999",DebtCon,Other,0.0,1.0,0.0,21.799352154,10.0,6.0,29.439664242,"20000-39,999"
1176,1,10000,19225.53,"20000-39,999",HomeImp,Office,5.0,0.0,2.0,186.0,1.0,10.0,,"20000-39,999"
4674,0,24500,,"20000-39,999",HomeImp,Other,21.0,0.0,0.0,83.111988152,1.0,15.0,29.855633501,"20000-39,999"
244,1,5500,24700.0,"20000-39,999",DebtCon,Other,1.0,0.0,3.0,153.93333333,3.0,27.0,,"20000-39,999"
5064,0,27000,13718.0,"20000-39,999",DebtCon,Other,16.0,2.0,0.0,122.29444677,1.0,18.0,24.355759583,"20000-39,999"
1433,0,10900,25061.0,"20000-39,999",DebtCon,Other,3.0,,,,,,37.10471224,"20000-39,999"
406,0,6500,22789.0,"20000-39,999",HomeImp,Office,1.0,0.0,0.0,110.56666667,2.0,30.0,,"20000-39,999"
5322,0,30000,12223.0,"20000-39,999",DebtCon,Other,28.5,0.0,0.0,199.83333333,0.0,15.0,,"20000-39,999"
313,1,6000,9660.0,"20000-39,999",DebtCon,Other,8.0,0.0,1.0,136.3,3.0,6.0,,"20000-39,999"
590,1,7500,12115.0,"20000-39,999",HomeImp,Office,13.0,3.0,6.0,234.90075082,0.0,24.0,24.662276673,"20000-39,999"
1894,0,12500,26286.0,"20000-39,999",DebtCon,Other,2.0,,,,,,38.438681858,"20000-39,999"
219,1,5300,26908.0,"20000-39,999",HomeImp,Other,,0.0,0.0,302.35870946,0.0,8.0,39.196985401999996,"20000-39,999"
5402,0,31400,12617.0,"20000-39,999",DebtCon,Other,30.0,0.0,0.0,205.4598874,0.0,15.0,41.979000667,"20000-39,999"
50,1,3100,39589.0,"20000-39,999",HomeImp,Other,1.5,0.0,0.0,153.16666667,1.0,14.0,,"20000-39,999"
932,0,9000,12340.0,"20000-39,999",,,,,,,,,31.703814721999997,"20000-39,999"
468,0,6900,,"20000-39,999",HomeImp,Other,,,,311.86989931,,12.0,30.790620774,"20000-39,999"
435,0,6700,29662.0,"20000-39,999",HomeImp,Office,1.0,0.0,0.0,112.13708066,1.0,30.0,38.52863281,"20000-39,999"
4941,0,26100,,"20000-39,999",DebtCon,Other,9.0,0.0,,79.331459835,,13.0,20.517146277000002,"20000-39,999"
5434,0,32000,232000.0,"20000-39,999",DebtCon,Mgr,3.0,0.0,2.0,206.03333333,3.0,50.0,,"20000-39,999"
28,1,2500,25116.0,"20000-39,999",HomeImp,Other,10.0,1.0,2.0,276.96666667,0.0,9.0,,"20000-39,999"
